Месторождение,Скважина,"Интервал отбора керна, м (Кровля)","Интервал отбора керна, м (Подошва)","Интервал отбора керна, м (после привязки) (Кровля)","Интервал отбора керна, м (после привязки) (Подошва)",Фактический вынос (м),Фактический вынос (%),Стратиграфическая единица,Слой (Кровля),Слой (Подошва),Слой (Толщина),Классификация (Порода),Классификация (Карбонатность),Классификация (Разрушенность),Классификация (Насыщение),Полное описание (старый формат),"Профильные методы, среднее значение по слою (Общая радио активность, API)","Профильные методы, среднее значение по слою (Плотность, г/см3)","Профильные методы, среднее значение по слою (Проницаемость, мД)"
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,3.35,4.65,1.3,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,"Песчаник светло-серый средне-мелкозернистый, сортировка средняя, крепкий, хорошо сцементированный, с запахом УВ и свечением в УФ-свете, большей частью однородный, по всему слою встречаются мелкие уплощенные, разноориентированные обломки алевролита серого мелкозернитого. Контакт четкий.",59.09912125,2.45,34.071714285714286
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,4.65,5.15,0.5,алевролит,не карбонатный,не разрушен,не опред.,"Алевролит темно-серый мелко-крупнозернистый до аргиллита алевритового, крепкий, с линзами и слойками алевролита светло-серого крупнозернистого. Слоистость волнистая и линзовидно-волнистая, весь слой интенсивно биотурбированный (Planolites) . Контакт четкий.",84.764493,2.5338334,6.4087
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,5.15,5.29,0.14,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,"Песчаник светло-серый мелкозернистый слабонефтенасыщенный, хорошо сортированный, крепкий, хорошо сцементированный, с частыми косо-волнистыми слойками алевролита серого мелкозернистого, местами текстура нарушена биотурбацией. Контакт четкий.",71.441837,2.5655025,9.41
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,5.29,5.6,0.31,алевролит,не карбонатный,не разрушен,пятнисто нефтенасыщенные,"Алевролит серый мелко-крупнозернистый, с крупными линзами и прослоями песчаника желтоватого (светится в УФ-свете и имеет слабый запах УВ), весь слой интенсивно биотурбированный (Thalassinoides, Teichichnus). Контакт не просматривается из-за биотурбации.",76.01121766666667,2.5419226666666668,1.3031666666666668
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,5.6,5.75,0.15,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,"Неравномерное переслаивание алевролита темно-серого мелкозернистого глинистого до аргиллита и песчаника светло-серого мелкозернистого с желтоватым оттенком (светится в УФ-свете). Слоистость пологонаклонная, изредка нарушена биотурбацией. В прослоях песчаника отмечается мелкая прерывистая косая слоистость, подчеркнутая углисто-слюдистым материалом. Контакт четкий.",87.314407,2.586973,3.16
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,5.75,7.08,1.33,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,"Неравномерное переслаивание алевролита серого мелко-крупнозернистого с частыми линзами песчаника светло-серого мелкозернистого, интенсивно биотурбированного (Thalassinoides, Teichichnus, Helminthopsis), и песчаника светло-серого с желтоватым оттенком мелкозернистого с частыми косо-волнистыми и волнистыми прослоями, между сериями которых отмечается мелкая косая слоистость, прослои представлены алевролитом серым мелкозернистым глинистым. Прослои песчаника светятся в УФ-свете, на свежем сколе также отмечается запах УВ. Контакт четкий.",75.84508861538461,2.5257796923076925,1.48204
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,7.08,8.77,1.69,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,"Песчаник светло-серый с желтоватым оттенком мелкозернистый до мелко-среднезернистого к середине слоя, и снова к концу слоя мелкозернистый, сортировка до плохой, крепкий, хорошо сцементированный, светится в УФ-свете и на свежем сколе с запахом УВ. Слоистость косая, мелкая прерывистая косая и косо-волнистая, подчеркнутая углисто-слюдистым материалом. На глубине 7,13-7,25; 7,49-7,52; 8,52-8,55 и 8,72-8,76 м отмечаются пологонаклонные и косо-волнистые слойки алевролита серого мелкозернистого глинистого, местами нарушенные биотурбацией. Толщина прослоев от 1 мм до 0,5 см.      ",64.8939125882353,2.473606411764706,14.46575
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,8.77,9.88,1.11,"пересл. песчаника, алевролита и глин",не карбонатный,не разрушен,пятнисто нефтенасыщенные,"Неравномерное волнистое и пологонаклонное переслаивание песчаника светло-серого мелкозернистого с желтоватым оттенком (слабонефтенасыщенного), алевролита серого мелкозернистого глинистого и слойков углисто-слюдистого материала. Контакт четкий.",70.9186195,2.5121128,4.0482
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,9.88,10.28,0.4,песчаник,не карбонатный,не разрушен,слабо нефтенасыщенные,"Неравномерное косо-волнистое и пологонаклонное переслаивание песчаника светло-серого мелкозернистого с желтоватым оттенком (слабонефтенасыщенного), алевролита серого мелкозернистого глинистого и слойков углисто-слюдистого материала. Местами текстура нарушена интенсивной биотурбацией (Teichichnus, Helminthopsis).",67.84295075,2.469936,1.0561428571428573
1.0,2.0,1963.1,1978.1,1964.3,1979.3,15.0,1.0,НП\2-3,10.28,11.56,1.28,песчаник,сильнокарбонатный,не разрушен,не опред.,"Песчаник светло-серый мелкозернистый, среднесортированный, крепкий, хорошо сцементированный, от карбонатного до сильно карбонатного. В основном с пологонаклонной слоистостью, подчеркнутой углистым детритом. В начале слоя текстура косо-волнистая и обусловлена алевролитом серым мелкозернистым глинистым. На глубине 10,6-11,13 отмечается взмучивание осадка. С глубины 10,6 м от начала интервала встречаются разноориентированные обломки глинистого материала. Размерами в длину до 1 см и в ширину не более 0,5-0,7 см. ",52.00721907692307,2.610876538461538,0.70832
